n_train,exact_best_risk,exact_seconds,exact_operator_dim,exact_megabytes,rf_best_risk,rf_seconds,rf_label,rf_operator_dim,rf_megabytes,risk_ratio_rf_over_exact,speedup_at_this_n
150,0.005414333011565593,1.741805038007442,1800,25.92,0.006486528045638341,2.8171874370018486,"rf tikhonov(lam=1e-04), M=220",1980,59.8752,1.198029015168152,0.6182780084597896
300,0.004242292847597325,6.3946731420001015,3600,103.68,0.005268754546208516,1.4732389290002175,"rf tikhonov(lam=1e-04), M=312",2808,143.949312,1.2419591799732876,4.340554010705997
600,0.0035536305114176386,13.538292583980365,7200,414.72,0.004365793366473442,2.981829658994684,"rf tikhonov(lam=1e-04), M=441",3969,354.638088,1.2285445412645923,4.540263573790048
