n_train,exact_best_risk,exact_seconds,exact_operator_dim,exact_megabytes,rf_best_risk,rf_seconds,rf_label,rf_operator_dim,rf_megabytes,risk_ratio_rf_over_exact,speedup_at_this_n
150,0.02434956890946069,0.13671546301338822,900,6.48,0.07769172790380303,0.0011407790007069707,"rf tikhonov(lam=3e-04), M=12",12,0.087552,3.1906818635141003,119.84395130753815
300,0.021021334066612742,0.1898328469833359,1800,25.92,0.07084948065415637,0.002958216005936265,"rf landweber(T=256), M=35",35,0.5138,3.370360816761077,64.17139471978973
600,0.018023570062178695,0.45623492301092483,3600,103.68,0.04685606755890838,0.005542207014514133,"rf landweber(T=256), M=49",49,1.430408,2.599710678698047,82.32007967514029
