input_dim,n_summands,n,iterations,features_at_unit_multiplier,features_at_plateau,error_at_unit_multiplier,plateau_error,excess_over_plateau,tolerance,sqrt_n_p_suffices
1,3,500,8,67,268,7.127199086883804,7.293189437712508,-0.02275963791237623,0.05,True
1,3,500,16,67,268,6.1257905679730795,6.090494783308591,0.005795224512993524,0.05,True
1,3,500,32,67,268,5.217694503658718,5.084456836971354,0.026204896798126764,0.05,True
1,3,500,64,67,268,4.331319666042931,4.2534550341721715,0.018306207834618338,0.05,True
1,3,1000,8,95,379,5.408330315239171,4.973709478895653,0.08738363955267037,0.05,False
1,3,1000,16,95,379,3.442323261106445,3.557740229256453,-0.03244108920625988,0.05,True
1,3,1000,32,95,379,2.9156990931654203,3.045312708806337,-0.042561676922735825,0.05,True
1,3,1000,64,95,379,2.629320783148509,2.7135808512065323,-0.03105124655510405,0.05,True
