input_dim,n_summands,n,iterations,baseline_error,plateau_error,threshold_features,threshold_multiplier,threshold_over_sqrt_n,threshold_features_interpolated,threshold_multiplier_interpolated
1,3,500,8,22.057701763881354,7.293189437712508,8,0.11925695879998877,0.35777087639996635,4.510628510473799,0.06724047980445357
1,3,500,16,22.057701763881354,6.090494783308591,4,0.05962847939999438,0.17888543819998318,4.0,0.05962847939999438
1,3,500,32,22.057701763881354,5.084456836971354,8,0.11925695879998877,0.35777087639996635,4.240101682016815,0.06320770395000529
1,3,500,64,22.057701763881354,4.2534550341721715,8,0.11925695879998877,0.35777087639996635,6.2835193548386306,0.09366917610236532
1,3,1000,8,22.555667778873563,4.973709478895653,24,0.2529822128134704,0.7589466384404111,14.604278212778729,0.15394260911717988
1,3,1000,16,22.555667778873563,3.557740229256453,24,0.2529822128134704,0.7589466384404111,17.36437587883829,0.18303659308138998
1,3,1000,32,22.555667778873563,3.045312708806337,24,0.2529822128134704,0.7589466384404111,16.268445930715437,0.17148447710786202
1,3,1000,64,22.555667778873563,2.7135808512065323,24,0.2529822128134704,0.7589466384404111,14.302146103422421,0.15075785705105654
